Index,time taken,MCES distance,status
271,32,0.018057346,4
272,9,0.099304199,1
273,22.5,0.002991438,4
274,10,0.329725266,2
275,30,0.066115141,4
276,6,0.148678064,1
277,19,0.053399801,4
278,6.5,0.227503061,1
279,25,0.013220787,4
280,3,0.065784454,1
281,7,0.101581335,1
282,32,0.023220062,4
283,19,0.014591694,4
284,75,0.033410549,4
285,13,0.00178647,4
286,23,0.017876863,4
287,10,0.182058811,1
288,68,0.040433168,4
289,33,0.018955946,4
290,22,0.008120298,4
291,58,0.051359177,4
292,6,0.170936108,1
293,10,0.135360956,2
294,11,0.015700817,4
295,6,0.15704751,1
296,10,0.117487431,2
297,41,0.033778429,4
298,27,0.020666122,4
299,24,0.020920992,4
300,13,0,4
301,16,0.009215832,4
302,34,0.055882454,4
303,20,0.014920712,4
304,25,0.024786234,4
305,72,0.031574726,4
306,17,0.011785984,4
307,13,0.009640217,4
308,17.5,0.011245012,4
309,56,0.051737785,4
310,17,0.011331081,4
311,22,0.021583319,4
312,16.5,0.020636797,4
313,13,0.013908386,4
314,21.5,0.008385897,4
315,18,0.005587578,4
316,108,0.116978407,4
317,37,0.053645134,4
318,13,0.005244017,4
319,81,0.031922579,4
320,18,0.009179592,4
321,16,0,4
322,12,0.008888483,4
323,30,0.028512478,4
324,22,0.001778364,4
325,10,0.255179167,2
326,43,0.035835028,4
327,15,0.01724124,4
328,27.5,0.041098595,4
329,19.5,0.021852732,4
330,24,0.047632933,4
331,35,0.040724039,4
332,10,0.136610508,2
333,15,0.012606621,4
334,5,0.120396376,1
335,5,0.260522604,1
336,30,0.011095285,4
337,14,0.020492554,4
338,91,0.079612017,4
339,36.5,0.019670248,4
340,16,0.01021719,4
341,36,0.018692493,4
342,42,0.020318747,4
343,13,0.039382458,4
344,14.5,0.008607149,4
345,52,0.042699814,4
346,52,0.031682253,4
347,62,0.126837492,4
348,6,0.202071667,1
349,10,0.150125027,1
350,47,0.019858122,4
351,31.5,0.00872612,4
352,33,0.031062841,4
353,48,0.039660454,4
354,23,0.008199215,4
355,40,0.010232925,4
356,25,0.018661022,4
357,27,0.012439013,4
358,70,0.04960084,4
359,25,0.076826334,4
360,9,0.985851288,1
361,41,0.016074896,4
362,10,0.064577103,2
363,9,0.249660492,1
364,29,0.047271013,4
365,12,0.039747238,4
366,56.5,0.111087322,4
367,25,0.008102894,4
368,41,0.025690079,4
369,21,0.006097555,4
370,19,0.029208422,4
371,30,0.107925653,4
372,30,0.022974968,4
373,2,0.180272579,1
374,12,0.009941578,4
375,8,0.129008293,1
376,29.5,0.040197611,4
377,16,0.019301176,4
378,26,0.011653423,4
379,40,0.047861814,4
380,47,0.040865421,4
381,35.5,0.019920588,4
382,38.5,0.029284716,4
383,22.5,0.01071763,4
384,8,0.170096159,1
385,19,0.038199902,4
386,31,0.042556763,4
387,16,0.040901184,4
388,22,0.028243542,4
389,14,0.013378382,4
390,46,0.055165052,4
391,2,0.244695187,1
392,40,0.067031145,4
393,8,0.135270596,1
394,25,0.05525589,4
395,63,0.04893589,4
396,67.5,0.051295042,4
397,39,0.020000935,4
398,21,0.009819746,4
399,82.5,0.083121777,4
400,13,0.149348497,4
401,67,0.037911177,4
402,40,0.028768063,4
403,38,0.043687582,4
404,22,0.007173777,4
405,7,0.069172144,1
406,43.5,0.089183807,4
407,39,0.048856974,4
408,12,0.012024403,4
409,67,0.03290987,4
410,51,0.03717041,4
411,72,0.040938616,4
412,10,0.412205458,1
413,34,0.033058167,4
414,91.5,0.152095079,4
415,2,0.193308592,1
416,45,0.018486261,4
417,96,0.060781956,4
418,60,0.060300112,4
419,56,0.033720732,4
420,38.5,0.034844637,4
421,30,0.097847939,4
422,41,0.012201786,4
423,47,0.029898405,4
424,11,0.001025438,4
425,23,0.014070272,4
426,56,0.024691343,4
427,53,0.061486244,4
428,22,0.007689714,4
429,17,0.004537821,4
430,26,0.012108803,4
431,20,0.004725695,4
432,7,0.25681591,1
433,10,0.096372843,2
434,28,0.014683247,4
435,68,0.045026302,4
436,19,0.014960766,4
437,38,0.020001173,4
438,5,0.115151167,1
439,56,0.032788992,4
440,57,0.041925907,4
441,75,0.049140453,4
442,43.5,0.015053749,4
443,80,0.109013796,4
444,69,0.024880171,4
445,28,0.016955614,4
446,25,0.005614758,4
447,30,0.055219173,4
448,38,0.026233435,4
449,47,0.026339769,4
450,46,0.017016172,4
451,7,0.153622866,1
452,20,0.036453009,4
453,53,0.041133165,4
454,10,0.160849571,2
455,46,0.088867426,4
456,32,0.01560688,4
457,37,0.06526494,4
458,33,0.052934885,4
459,33.5,0.014009237,4
460,42.5,0.025869846,4
461,39,0.039208174,4
462,67,0.032914162,4
463,14,0.004983187,4
464,40.5,0.01610136,4
465,23.5,0.009096622,4
466,29.5,0.015700817,4
467,14,0.00803256,4
468,34,0.019958258,4
469,21.5,0.011011839,4
470,14,0.006927252,4
471,64.5,0.055349827,4
472,37.5,0.018904448,4
473,74.5,0.016922951,4
474,32,0.024922132,4
475,18,0.005016327,4
476,19,0.007978439,4
477,11,0.006011724,4
478,57.5,0.076197147,4
479,31,0.017692327,4
480,10,0.116948843,2
481,16,0.007979155,4
482,55.5,0.024917364,4
483,22,0.011197805,4
484,34.5,0.02317977,4
485,36,0.059957981,4
486,45,0.026939392,4
487,77,0.026934862,4
488,33,0.028920174,4
489,8,1.366065025,1
490,15,0.004423141,4
491,69,0.089719296,4
492,22,0.007979155,4
493,10,0.070097446,1
494,31,0.053447008,4
495,14,0.011192083,4
496,59,0.037473679,4
497,21,0.032982111,4
498,18,0.007013559,4
499,15,0.011210918,4
500,26,0.014940977,4
501,64,0.04754281,4
502,13,0.003228188,4
503,31,0.017903328,4
504,17,0.002915382,4
505,17,0.013985872,4
506,58.5,0.063201666,4
507,29,0.06824255,4
508,16,0.015901804,4
509,14,0.004986525,4
510,36,0.017030954,4
