Index,time taken,MCES distance,status
511,52,0.021701574,4
512,10,0.225356817,2
513,37,0.03091979,4
514,60,0.040706635,4
515,64.5,0.064352036,4
516,4,0.025586843,1
517,37,0.017182827,4
518,28,0.001032352,4
519,9,0.099014759,1
520,17,0.00199008,4
521,28,0.060534716,4
522,25,0.128499746,4
523,20,0.008722305,4
524,10,0.872282505,2
525,27,0.013905287,4
526,24,0.013501406,4
527,18,0.01151967,4
528,10,0.225858927,2
529,43,0.017449856,4
530,53,0.036607027,4
531,27,0.017323494,4
532,28,0.021140575,4
533,26,0.011705637,4
534,18,0.001112223,4
535,17,0.009836435,4
536,29.5,0.022295475,4
537,19,0.006505013,4
538,40,0.013415337,4
539,10,1.528000832,2
540,48,0.025580406,4
541,24.5,0.015004396,4
542,17,0.002989054,4
543,25,0.003987551,4
544,11.5,0.00498724,4
545,77,0.034047604,4
546,49.5,0.028138399,4
547,29,0.011101961,4
548,31,0.007128477,4
549,70,0.05985713,4
550,33,0.007055521,4
551,22,0.012827396,4
552,75,0.01905179,4
553,10,1.1463027,1
554,57,0.032140017,4
555,18,0.004985571,4
556,72,0.04962945,4
557,76,0.036015749,4
558,22,0.005982399,4
559,15,0.001996756,4
560,21,0.004985094,4
561,26,0.015001774,4
562,61,0.023102045,4
563,47,0.020087719,4
564,14,0.007679224,4
565,32,0.021212339,4
566,60,0.018929958,4
567,37,0.024403334,4
568,32,0.006819963,4
569,19,0.050007582,4
570,11,0.024237394,4
571,31,0.050048828,4
572,21,0.023139,4
573,32.5,0.008022547,4
574,39,0.019752979,4
575,28.5,0.017976522,4
576,44,0.053574324,4
577,5.5,0.08360076,1
578,10,0.085876942,2
579,29,0.028697729,4
580,3,0.8717978,1
581,15,0.002492189,4
582,10,0.121754885,2
583,62,0.094671249,4
584,85,0.047333717,4
585,22,0.009943962,4
586,30,0.008060694,4
587,25,0.022299051,4
588,6,0.11842227,1
589,19,0.011953831,4
590,20,0.064320087,4
591,19.5,0.016527176,4
592,19,0,4
593,26,0.018462181,4
594,16,0.010437012,4
595,7,0.134155273,1
596,9,0.178129911,1
597,14,0.012410402,4
598,31,0.024069548,4
599,35.5,0.050178766,4
600,13,0.001672268,4
601,34,0.008769751,4
602,33,0.019281626,4
603,18.5,0.031392097,4
604,26,0.01206398,4
605,19,0,4
606,24,0.009457111,4
607,6,0.157455206,1
608,11.5,0.010783672,4
609,4,0.160920858,1
610,1,0.218459606,1
611,8,0.245159626,1
612,3,0.163552523,1
613,26,0.029448032,4
614,14,0.000986814,4
615,15,0.022813797,4
616,10,0.194694757,1
617,2,0.191813946,1
618,24,0.0125525,4
619,16,0.015097618,4
620,11,0.003752708,4
621,22,0.029842615,4
622,14,0.01417017,4
623,104,0.125578642,4
624,50,0.029182434,4
625,59.5,0.021863937,4
626,30.5,0.019256353,4
627,25,0.020959854,4
628,40,0.008878708,4
629,81.5,0.040786266,4
630,30,0.009094477,4
