0,1,2,mass1,mass2,mass_diff
1406,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OC3[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O[C@H]5[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)C5O)[C@H](NC(C)=O)C4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)C4O)[C@@H]3O)[C@H](NC(C)=O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](NC(C)=O)C(OC[C@H]3O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)C(O[C@@H]4O[C@H](CO)C(O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)C(O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H]3O)O[C@H](CO)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,1365.2510000000013,1365.2510000000013,0.0
1420,C[C@@H]1O[C@@H](OC2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2OC2[C@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@@H]3O)[C@@H]2NC(C)=O)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@@H](OC([C@@H](O)C=O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC3O[C@H](CO)[C@@H](O)C(OC4O[C@H](CO)C(O)C(O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)C(O)CO)[C@@H](O)C(O)C1O,853.7740000000007,853.7740000000007,0.0
1437,[H][C@@]12CC[C@]([H])([C@@](C)(O)[C@H](O)CCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(O)CC[C@]12C,[H]C12CC[C@](O)([C@](C)(O)CCCC(C)C)[C@@]1(C)CCC1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,418.6620000000002,418.66200000000015,5.684341886080802e-14
1462,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@]1([H])CC3)[C@H](C)CCC(=C)C(C)C,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@H](C)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=C)C(C)C,412.7020000000003,412.7020000000003,0.0
1473,[H][C@@]12CCC(C(C)CCCC(C)C)[C@@]1(C)C([H])(O)C[C@@]1([H])C2[C@H](O)CC2CC(=O)CC[C@]12C,[H][C@]12CCC(C(C)CCCC(C)C)[C@@]1(C)C([H])(O)C[C@@]1([H])C2[C@H](O)CC2CC(=O)CC[C@]12C,418.66200000000026,418.66200000000026,0.0
1490,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,1002.1299999999994,1002.1299999999994,0.0
1493,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCC\C=C/CCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCC\C=C/CCCCCCCC,1008.1779999999991,1008.1779999999991,0.0
1499,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,1028.1679999999994,1028.1679999999994,0.0
1503,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C(O)[C@H]1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,1028.1679999999994,1028.1679999999994,0.0
1506,CCCCCC\C=C/CCCCCCCCCC(=O)OCC1COP(O)(=O)O1,CCCCCCCC\C=C/CCCCCCCC(=O)OCC1COP(O)(=O)O1,418.5110000000001,418.5110000000001,0.0
