pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
49642,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,751.231,751.039,0.192,1.196834803,0.002991438,11,2,0,0,0,10,"(0, 11.0, 0.0029914379119873047, 2, 0, 10, 11.0, None, None, None, 0.0)",,lower_bound,0,1,11,,,,0,74
50640,COC1=CC(F)=C(C=C1C1=C(CN2C(C)C(OC2=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=C(C=C1)C(F)(F)F)C(C)C,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC\C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCCCC,637.514,638.927,1.413,1.127436638,0.001996517,30,2,0,0,0,10,"(0, 30.0, 0.0019965171813964844, 2, 0, 10, 30.0, None, None, None, 0.0)",,lower_bound,0,1,30,,,,0,48
57869,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,732.936,733.216,0.28,1.623417616,0.003117323,18,2,0,0,0,10,"(0, 18.0, 0.0031173229217529297, 2, 0, 10, 18.0, None, None, None, 0.0)",,lower_bound,0,1,18,,,,0,18
61065,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,55.49216008,54.31890512,6,1,0,1,1,10,"(0, 5.999999999999963, 54.31890511512756, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,6
71474,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,737.204,737.204,1.14E-13,6.217946529,5.043239832,4,1,0,1,1,10,"(0, 4.000000000000372, 5.0432398319244385, 1, 1, 10, 1.0, 0, 2.0, 1.0, 0)",,exact,1,0,1,0,2,1,0,4
72734,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,0,23.97008944,22.61218262,6,1,0,1,1,10,"(0, 5.999999999999993, 22.6121826171875, 1, 1, 10, 2.0, 0, 4.0, 2.0, 0)",,exact,1,0,2,0,4,2,0,6
78249,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](CCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCC(C)CC)[C@@H](O)CC1=O,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,652.954,653.042,0.088,5.975044489,4.778900385,10,1,0,1,1,10,"(0, 10.0, 4.778900384902954, 1, 1, 10, 6.0, 0, 10.0, 7.0, 0)",,exact,1,0,6,0,10,7,0,10
79595,[H][C@@](CO)(NC(=O)CCC[C@@H](O)[C@H](O)\C=C/C=C\C=C\C=C\[C@@H](O)C\C=C/CC)[C@H](O)[C@@H](O)CCCCCCCCCCCCCC,CC\C=C\CC(O)\C=C\C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC(C)C,649.954,649.01,0.944,2.292143822,0.282246828,11,2,0,0,0,10,"(0, 11.0, 0.28224682807922363, 2, 0, 10, 8.0, 0, None, 11.0, 0.0)",,lower_bound,0,1,8,0,,11,0,15
84061,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCCC1OC1C\C=C/CCCCC,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)C(O)=O,787.025,786.041,0.984,5.274041653,3.90852952,10,2,0,1,1,10,"(0, 10, 3.90852952003479, 2, 1, 10, 2.0, 0, 7.75, 5.0, 0)",,lower_bound,0,1,2,0,7.75,5,0,14
85717,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,709.15,709.15,2.27E-13,35.3578217,34.12200236,6,1,0,1,1,10,"(0, 6.0, 34.122002363204956, 1, 1, 10, 2.0, 0, 4.0, 2.0, 0)",,exact,1,0,2,0,4,2,0,6
