0,1,2,mass1,mass2,mass_diff
41708,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC,1480.1129999999998,1480.1129999999998,0.0
41719,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C,821.3659999999995,821.3659999999996,1.1368683772161603e-13
41723,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCC(C)C,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,1381.9239999999995,1381.924,4.547473508864641e-13
41922,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C,1367.8969999999997,1367.8969999999995,2.2737367544323206e-13
42156,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCCCC(C)CC,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC)OC(=O)CCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,1321.7839999999997,1321.7840000000006,9.094947017729282e-13
42470,CCCCC[C@@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@H]1C\C=C/CC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,789.040999999999,789.1729999999991,0.13200000000006185
42671,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC,1311.7889999999995,1311.7889999999995,0.0
42727,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC,807.3389999999996,807.3389999999995,1.1368683772161603e-13
42907,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,1438.0319999999997,1438.032,2.2737367544323206e-13
42978,CC1=CCC(CC1)C(C)(C)OC(=O)C1=CC=CC=C1N,O=N(=O)C1=CC2=C(C=CC3=CC=CC=C23)C2=CC=CC=C12,273.37600000000003,273.291,0.08500000000003638
43034,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC)OC(=O)CCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCC,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C,1395.951,1395.9509999999993,6.821210263296962e-13
43107,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,1452.059,1452.0589999999997,2.2737367544323206e-13
43132,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCC,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,1475.9959999999999,1475.9959999999999,0.0
43184,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C(O)=O,895.4919999999995,896.241,0.7490000000004784
43219,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,765.0699999999997,765.2579999999995,0.1879999999997608
43257,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)C,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,1367.8969999999995,1367.8969999999997,2.2737367544323206e-13
43408,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,1367.8969999999995,1367.8969999999997,2.2737367544323206e-13
43426,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC,1283.7349999999997,1283.7349999999994,2.2737367544323206e-13
43493,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,1353.8699999999994,1353.87,4.547473508864641e-13
