pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,d1,d2,d_bond,d_rascal,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,exact distance
32135,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)C(O)=O,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/CC(O)\C=C/CC,729.933,730.92,0.987,1.627378464,0.002013206,11,2,0,1,11,0,0,0,0,0,"(0, 11.0, 0.0020132064819335938, 2, 11.0, 0)",,lower_bound,0,1,18
33751,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,793.312,793.312,0,37.40223551,35.90800309,6,1,0,1,1,10,0,0,0,0,"(0, 5.999999999999991, 35.908003091812134, 1, 1, 10, 0.0, 0.0, 0.0, 0.0)",,exact,1,0,6
38430,[H][C@@](COC(=O)CCCCCCC[C@@H](O)[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC,765.963,765.258,0.705,1.643433094,0.00400877,17,2,0,1,17,0,0,0,0,0,"(0, 17.0, 0.004008769989013672, 2, 17.0, 0)",,lower_bound,0,1,24
38725,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,779.285,779.285,4.55E-13,7.313936234,5.70998621,2,1,0,1,1,10,0,0,0,0,"(0, 2.000000000000109, 5.709986209869385, 1, 1, 10, 0.0, 0.0, 0.0, 0.0)",,exact,1,0,2
40255,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC(C)C,709.15,709.194,0.044,11.44040537,9.47874856,9,1,0,1,1,10,5,6,2.5,6,"(0, 8.99999999999999, 9.478748559951782, 1, 1, 10, 5.0, 6.0, 2.5, 6.0)",,exact,1,0,9
42470,CCCCC[C@@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@H]1C\C=C/CC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,789.041,789.173,0.132,3.381071329,0.467430353,13,2,0,0,0,0,0,0,0,0,"(0, 13.0, 0.46743035316467285, 2, 0, 0)",,lower_bound,0,1,11
43219,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,765.07,765.258,0.188,2.263907909,0.001997948,18,2,0,1,18,0,0,0,0,0,"(0, 18.0, 0.0019979476928710938, 2, 18.0, 0)",,lower_bound,0,1,34
44757,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,765.258,765.258,1.14E-13,60,,,,1,0,,,0,0,0,0,,Exceeded 60 seconds,unknown,0,0,8
45488,CC1(C)CCC2(CCC3(C)C(C2C1)C(=O)C=C1C2(C)C=C(C#N)C(=O)C(C)(C)C2CCC31C)C(=O)N1C=CN=C1,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCC(C)C,541.736,540.87,0.866,2.292374372,0.003077745,20.5,2,0,1,20.5,0,0,0,0,0,"(0, 20.5, 0.0030777454376220703, 2, 20.5, 0)",,lower_bound,0,1,33.5
46707,CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,751.011,751.231,0.22,2.837822437,0.002992153,19,2,0,1,19,0,0,0,0,0,"(0, 19.0, 0.0029921531677246094, 2, 19.0, 0)",,lower_bound,0,1,75
47035,[H][C@](COC(=O)CCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,2.27E-13,60,,,,1,0,,,0,0,0,0,,Exceeded 60 seconds,unknown,0,0,30
49642,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,751.231,751.039,0.192,1.585133314,0.00185442,11,2,0,1,11,0,0,0,0,0,"(0, 11.0, 0.0018544197082519531, 2, 11.0, 0)",,lower_bound,0,1,74
50640,COC1=CC(F)=C(C=C1C1=C(CN2C(C)C(OC2=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=C(C=C1)C(F)(F)F)C(C)C,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC\C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCCCC,637.514,638.927,1.413,1.678799391,0.001747847,30,2,0,1,30,0,0,0,0,0,"(0, 30.0, 0.0017478466033935547, 2, 30.0, 0)",,lower_bound,0,1,48
57869,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,732.936,733.216,0.28,1.447012663,0.001994133,18,2,0,1,18,0,0,0,0,0,"(0, 18.0, 0.0019941329956054688, 2, 18.0, 0)",,lower_bound,0,1,18
61065,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,60,,,,1,0,,,0,0,0,0,,Exceeded 60 seconds,unknown,0,0,6
71474,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,737.204,737.204,1.14E-13,6.407079935,4.770903349,4,1,0,1,1,10,1,1,0,1,"(0, 4.000000000000372, 4.7709033489227295, 1, 1, 10, 1.0, 1.0, 0.0, 1.0)",,exact,1,0,4
72734,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,0,18.84580755,17.1688199,6,1,0,1,1,10,2,2,0,2,"(0, 5.999999999999993, 17.168819904327393, 1, 1, 10, 2.0, 2.0, 0.0, 2.0)",,exact,1,0,6
78249,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](CCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCC(C)CC)[C@@H](O)CC1=O,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,652.954,653.042,0.088,5.422369242,3.838234186,10,1,0,1,1,10,6,7,2,9,"(0, 10.0, 3.8382341861724854, 1, 1, 10, 6.0, 7.0, 2.0, 9.0)",,exact,1,0,10
79595,[H][C@@](CO)(NC(=O)CCC[C@@H](O)[C@H](O)\C=C/C=C\C=C\C=C\[C@@H](O)C\C=C/CC)[C@H](O)[C@@H](O)CCCCCCCCCCCCCC,CC\C=C\CC(O)\C=C\C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC(C)C,649.954,649.01,0.944,1.976499081,0.369343758,11,2,0,0,0,11,0,0,0,0,"(0, 11.0, 0.36934375762939453, 2, 0, 11.0)",,lower_bound,0,1,15
84061,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCCC1OC1C\C=C/CCCCC,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)C(O)=O,787.025,786.041,0.984,5.543866158,3.894513369,10,2,0,1,1,10,2,5,3,6,"(0, 10, 3.8945133686065674, 2, 1, 10, 2.0, 5.0, 3.0, 6.0)",,lower_bound,0,1,14
85717,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,709.15,709.15,2.27E-13,36.82320094,35.26407361,6,1,0,1,1,10,2,2,0,2,"(0, 6.0, 35.264073610305786, 1, 1, 10, 2.0, 2.0, 0.0, 2.0)",,exact,1,0,6
86976,CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,610.873,609.557,1.316,1.686388254,0.001994133,22.5,2,0,1,22.5,0,0,0,0,0,"(0, 22.5, 0.0019941329956054688, 2, 22.5, 0)",,lower_bound,0,1,37.5
87058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,28.66276217,26.84888363,6,1,0,1,1,10,0,0,0,0,"(0, 6.0, 26.848883628845215, 1, 1, 10, 0.0, 0.0, 0.0, 0.0)",,exact,1,0,6
88912,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,[H][C@@](CO\C=C\CCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC,695.123,694.931,0.192,1.564620018,0.001996994,13,2,0,1,13,0,0,0,0,0,"(0, 13.0, 0.0019969940185546875, 2, 13.0, 0)",,lower_bound,0,1,24
91714,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,794.064,793.312,0.752,1.530574083,0.004096508,17,2,0,1,17,0,0,0,0,0,"(0, 17.0, 0.004096508026123047, 2, 17.0, 0)",,lower_bound,0,1,29
93324,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC,666.981,667.069,0.088,2.488383055,0.404695034,13,2,0,0,0,0,0,0,0,0,"(0, 13.0, 0.4046950340270996, 2, 0, 0)",,lower_bound,0,1,12
93715,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,596.934,596.978,0.044,3.499869347,1.773442984,5,1,0,1,1,10,3,5,2.5,5,"(0, 4.999999999999771, 1.7734429836273193, 1, 1, 10, 3.0, 5.0, 2.5, 5.0)",,exact,1,0,5
95805,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/[C@@H](O)CCCC)OC(=O)CCCCCCCCC(C)C,731.049,730.917,0.132,2.125982523,0.376865864,12,2,0,0,0,12,0,0,0,0,"(0, 12.0, 0.37686586380004883, 2, 0, 12.0)",,lower_bound,0,1,15
97962,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,723.177,723.177,0,12.09001851,9.453794718,4,1,0,1,1,10,0,0,0,0,"(0, 4.000000000000222, 9.453794717788696, 1, 1, 10, 0.0, 0.0, 0.0, 0.0)",,exact,1,0,4
98151,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O,594.525,594.522,0.003,3.295054436,0.648533106,11,2,0,0,0,11,0,0,0,0,"(0, 11.0, 0.6485331058502197, 2, 0, 11.0)",,lower_bound,0,1,18
98889,CC1=CC(O)=C2C(O)=C3C(=O)C4C(O)C5C6C(O)C(C(=O)C7=C(O)C8=C(O)C=C(C)C(O)=C8C(=O)C467)C35C(=O)C2=C1O,CC(C)C1=C(C(O)=NC2=CC=CC=C2O)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,574.494,574.649,0.155,2.462554216,0.004383326,16.5,2,0,1,16.5,0,0,0,0,0,"(0, 16.5, 0.0043833255767822266, 2, 16.5, 0)",,lower_bound,0,1,42.5
99980,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC,CC1(C)C(CCC2(C=O)C1CCC1(C)C2CCC2C3=CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OCC(O)C(O)C1O)C(O)=O,779.285,778.933,0.352,2.492029428,0.005453587,25,2,0,1,25,0,0,0,0,0,"(0, 25.0, 0.005453586578369141, 2, 25.0, 0)",,lower_bound,0,1,36
101536,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCCCCC(C)C,737.204,737.116,0.088,3.294801712,0.673505068,15,2,0,0,0,0,0,0,0,0,"(0, 15.0, 0.6735050678253174, 2, 0, 0)",,lower_bound,0,1,14
102018,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC,779.285,779.285,1.14E-13,42.54680276,40.05401683,6,1,0,1,1,10,1,1,0,1,"(0, 6.0, 40.05401682853699, 1, 1, 10, 1.0, 1.0, 0.0, 1.0)",,exact,1,0,6
103781,[H]C(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCC\C=C/CCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCC(O)\C=C\C=C\C\C=C\CC,728.005,728.989,0.984,8.297152996,5.789683104,10,2,0,1,1,10,3,5,2,5,"(0, 10, 5.789683103561401, 2, 1, 10, 3.0, 5.0, 2.0, 5.0)",,lower_bound,0,1,12
104071,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C=C/[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,779.285,778.021,1.264,2.691172361,0.005025148,17,2,0,1,17,0,0,0,0,0,"(0, 17.0, 0.005025148391723633, 2, 17.0, 0)",,lower_bound,0,1,26
107766,CC(CCC(=O)NC(CCCNC(N)=O)C(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC[C@H](O)[C@@H](O)\C=C/C=C\C=C\C=C\[C@H](O)C\C=C/CC,549.753,550.733,0.98,3.681726456,0.007727861,15,2,0,0,0,0,0,0,0,0,"(0, 15.0, 0.007727861404418945, 2, 0, 0)",,lower_bound,0,1,26
